i;GraphName;Algorithm;N Colis;Graph Initial;x0 fitness;x0 Nb camions;xi fitness;xi Nb camions;Temps calcul (en ms);Max iteration;Variation ou Taille liste
0;A3205.txt;recuit;32;greedy;3740;31;851;5;15483;10000000;0.9999
0;A3305.txt;recuit;33;greedy;2618;32;674;5;15821;10000000;0.9999
0;A3306.txt;recuit;33;greedy;2544;32;753;6;15514;10000000;0.9999
0;A3405.txt;recuit;34;greedy;3155;33;790;6;15930;10000000;0.9999
0;A3605.txt;recuit;36;greedy;3896;35;861;5;15778;10000000;0.9999
0;A3705.txt;recuit;37;greedy;2755;36;676;5;15950;10000000;0.9999
0;A3706.txt;recuit;37;greedy;3812;36;1068;6;16699;10000000;0.9999
0;A3805.txt;recuit;38;greedy;3075;37;800;5;16214;10000000;0.9999
0;A3905.txt;recuit;39;greedy;3618;38;939;5;16669;10000000;0.9999
0;A3906.txt;recuit;39;greedy;3489;38;856;6;17261;10000000;0.9999
0;A4406.txt;recuit;44;greedy;4168;43;1043;6;18289;10000000;0.9999
0;A4506.txt;recuit;45;greedy;4284;44;977;7;20255;10000000;0.9999
0;A4507.txt;recuit;45;greedy;5114;44;1230;7;19095;10000000;0.9999
0;A4607.txt;recuit;46;greedy;4039;45;989;7;20913;10000000;0.9999
0;A5307.txt;recuit;53;greedy;5026;52;1148;8;22774;10000000;0.9999
0;A5407.txt;recuit;54;greedy;5774;53;1331;7;23478;10000000;0.9999
0;A5509.txt;recuit;55;greedy;4377;54;1118;9;24536;10000000;0.9999
0;A6009.txt;recuit;60;greedy;6329;59;1465;9;24704;10000000;0.9999
0;A6109.txt;recuit;61;greedy;4470;60;1213;10;24600;10000000;0.9999
0;A6208.txt;recuit;62;greedy;7106;61;1417;8;23846;10000000;0.9999
0;A6310.txt;recuit;63;greedy;5761;62;1422;10;26240;10000000;0.9999
0;A6409.txt;recuit;64;greedy;7632;63;1543;9;26089;10000000;0.9999
0;A6509.txt;recuit;65;greedy;5722;64;1258;10;25248;10000000;0.9999
0;A6909.txt;recuit;69;greedy;5513;68;1268;9;25302;10000000;0.9999
0;A8010.txt;recuit;80;greedy;11153;79;1909;10;28366;10000000;0.9999
1;A3205.txt;recuit;32;greedy;3740;31;831;5;13426;10000000;0.9999
1;A3305.txt;recuit;33;greedy;2618;32;674;5;13724;10000000;0.9999
1;A3306.txt;recuit;33;greedy;2544;32;750;6;14739;10000000;0.9999
1;A3405.txt;recuit;34;greedy;3155;33;862;5;14572;10000000;0.9999
1;A3605.txt;recuit;36;greedy;3896;35;848;5;15211;10000000;0.9999
1;A3705.txt;recuit;37;greedy;2755;36;709;5;14547;10000000;0.9999
1;A3706.txt;recuit;37;greedy;3812;36;1024;6;15080;10000000;0.9999
1;A3805.txt;recuit;38;greedy;3075;37;830;5;15064;10000000;0.9999
1;A3905.txt;recuit;39;greedy;3618;38;870;5;16092;10000000;0.9999
1;A3906.txt;recuit;39;greedy;3489;38;840;6;16321;10000000;0.9999
1;A4406.txt;recuit;44;greedy;4168;43;1072;6;16789;10000000;0.9999
1;A4506.txt;recuit;45;greedy;4284;44;974;7;17429;10000000;0.9999
1;A4507.txt;recuit;45;greedy;5114;44;1239;7;17392;10000000;0.9999
1;A4607.txt;recuit;46;greedy;4039;45;975;7;17399;10000000;0.9999
1;A5307.txt;recuit;53;greedy;5026;52;1103;7;19079;10000000;0.9999
1;A5407.txt;recuit;54;greedy;5774;53;1347;7;19271;10000000;0.9999
1;A5509.txt;recuit;55;greedy;4377;54;1107;9;20332;10000000;0.9999
1;A6009.txt;recuit;60;greedy;6329;59;1462;9;21473;10000000;0.9999
1;A6109.txt;recuit;61;greedy;4470;60;1100;10;22158;10000000;0.9999
1;A6208.txt;recuit;62;greedy;7106;61;1442;8;20781;10000000;0.9999
1;A6310.txt;recuit;63;greedy;5761;62;1379;10;22514;10000000;0.9999
1;A6409.txt;recuit;64;greedy;7632;63;1508;9;21717;10000000;0.9999
1;A6509.txt;recuit;65;greedy;5722;64;1279;9;22374;10000000;0.9999
1;A6909.txt;recuit;69;greedy;5513;68;1281;9;22942;10000000;0.9999
1;A8010.txt;recuit;80;greedy;11153;79;2009;10;26118;10000000;0.9999
2;A3205.txt;recuit;32;greedy;3740;31;851;5;13050;10000000;0.9999
2;A3305.txt;recuit;33;greedy;2618;32;662;5;13409;10000000;0.9999
2;A3306.txt;recuit;33;greedy;2544;32;748;6;14246;10000000;0.9999
2;A3405.txt;recuit;34;greedy;3155;33;793;5;13894;10000000;0.9999
2;A3605.txt;recuit;36;greedy;3896;35;902;5;14365;10000000;0.9999
2;A3705.txt;recuit;37;greedy;2755;36;676;5;14419;10000000;0.9999
2;A3706.txt;recuit;37;greedy;3812;36;1081;6;15111;10000000;0.9999
2;A3805.txt;recuit;38;greedy;3075;37;779;6;15419;10000000;0.9999
2;A3905.txt;recuit;39;greedy;3618;38;881;5;14853;10000000;0.9999
2;A3906.txt;recuit;39;greedy;3489;38;850;6;15768;10000000;0.9999
2;A4406.txt;recuit;44;greedy;4168;43;1006;6;16813;10000000;0.9999
2;A4506.txt;recuit;45;greedy;4284;44;1020;7;17486;10000000;0.9999
2;A4507.txt;recuit;45;greedy;5114;44;1267;7;17456;10000000;0.9999
2;A4607.txt;recuit;46;greedy;4039;45;976;7;17455;10000000;0.9999
2;A5307.txt;recuit;53;greedy;5026;52;1105;8;19011;10000000;0.9999
2;A5407.txt;recuit;54;greedy;5774;53;1370;7;19204;10000000;0.9999
